Material	Quantity	Batch
7139527	7	231848
7193743	146	134763
7185294	2	508293
7184905	2	91097
7185286	1	507738
7193745	24	401984
7192095	1	51296
7185286	1	99541
7193391	0	389675
7193388	4	350521
7193384	23	193630
7185286	2	387343
7185294	0	63651
7185286	2	24016
7185286	2	73079
7184905	2	24122
7193746	11	77990
7185294	1	405819
7185286	3	426299
7188200	-18	371651
7188200	-4	371651
7188200	-94	371651
7188200	190	371651
7193472	2	59277
7188200	8	241022
7193469	65	27295
7180454	-48	181372
7180454	60	181372
7193469	815	282283
7180446	19143	34582
7194139	111	365234
7194135	1351	375393
7193118	188	24043
7192562	164	429790
7187947	209	339936
7187599	45	322989
7192564	65	451415
7193269	52	57042
7193269	82	57042
7193248	106	407915
7192562	-10	131761
7193149	18	59593
7193149	11709	59593
7193121	54	103022
7193118	4343	246424
7193121	53	159371
7188200	-317	215166
7188200	563	215166
7188200	386	215166
7188200	-257	215166
7188200	-131	215166
7188200	77	215166
7193118	5151	336803
7193117	4176	225648
7193469	9495	14179
7193775	153	242193
7192564	307	102749
7193118	5334	509412
7193691	64	35434
7180462	20	440463
7193776	405	471547
7192807	561	96280
7193716	0	528189
7193716	0	528189
7174438	496	427014
7174438	-75	504551
7174438	289	504551
7174438	528	504551
7147210	6888	183052
7175841	150	199500
7174438	1786	413892
7198272	39086	379457
7198280	17722	492235
7182406	2	351721
7192013	610	471270
7189133	900	209078
7189133	164	484873
7192064	-71	266502
7192064	110	266502
7192064	527	266502
7263422	0	148843
7263163	1	148843
7263309	1	352916
7263368	1	352916
7263244	1	502456
7263295	1	502456
7263309	1	102962
7263368	1	102962
7263309	1	288883
7263368	0	288883
7263309	1	528936
7263368	0	528936
7263368	0	475581
7263309	0	475581
7263368	0	135162
7263309	2	135162
7263244	2	497973
7263295	0	497973
7263422	0	103877
7263163	0	103877
7263422	1	253062
7263163	0	253062
7263368	1	515631
7263309	0	515631
7250746	1	308604
7236859	3	22555
7263244	1	49008
7263295	0	49008
7263244	1	17435
7263295	0	17435
7263368	0	301859
7263309	0	301859
7250746	2	2856
7262752	1439	439552
7263198	1	45389
7263171	0	156526
7263198	242	246030
7263198	1	246030
7263198	1	33889
7263198	676	33889
7263198	16	33889
7263171	292	192354
7263171	0	192354
7263252	0	35336
7263171	2	310608
7263171	-3	310608
7263171	0	310608
7263252	1	309162
7263252	0	309162
7263171	1	21918
7263198	1	229630
7263171	1	167307
7263171	0	426301
7263171	2	181622
7263198	1	287342
7263198	1	428364
7263198	1	312506
7263171	1	389360
7263198	1	506323
7263171	1	232449
7263198	0	228426
7263252	1	317837
7263171	1	515328
7263171	1	344379
7263198	2	185874
7263171	0	530895
7263252	1	224850
7263171	2	82415
7263171	1	276595
7263198	0	342566
7263198	3	198416
7171536	3	214713
7171536	1	214713
7171536	1	214713
7171536	0	214713
7171536	0	479903
7171536	2	479903
7171536	3	479903
7171536	2	479903
7176686	6	267849
7145730	9	52999
7191243	3	157796
7191243	3	157796
7191243	3	157796
7191243	3	157796
7191243	0	157796
7171536	0	408287
7171536	1	408287
7171536	3	408287
7171536	3	408287
7191243	0	295041
7191243	1	295041
7191243	2	295041
7191243	0	295041
7191243	3	450566
7191243	2	450566
7191243	3	450566
7191243	3	450566
7191243	1	450566
7191243	28048	450566
7191243	-235041	450566
7191243	1	450566
7191278	0	436558
7191278	0	436558
7191278	2	436558
7191278	2	436558
7191243	3	46235
7191243	1	46235
7191243	1	46235
7191243	2	46235
7191243	0	46235
